"","serotype","ENTIDAD_RES","YEAR","prop_non_hosp","prop_hosp"
"1","DENV1","aguascalientes",2016,1.7307625739901e-05,1
"2","DENV1","aguascalientes",2017,3.4615251479802e-05,3.4615251479802e-05
"3","DENV1","aguascalientes",2018,0,0
"4","DENV1","aguascalientes",2019,0.000121153380179307,0.4
"5","DENV1","aguascalientes",2020,0,0
"6","DENV1","aguascalientes",2021,0,0
"7","DENV1","aguascalientes",2022,0,0
"8","DENV1","aguascalientes",2023,0.00359998615389941,0.842105263157895
"9","DENV1","baja california",2016,0,1
"10","DENV1","baja california",2017,3.4615251479802e-05,3.4615251479802e-05
"11","DENV1","baja california",2018,1.7307625739901e-05,1.7307625739901e-05
"12","DENV1","baja california",2019,8.6538128699505e-05,0.5
"13","DENV1","baja california",2020,1.7307625739901e-05,1.7307625739901e-05
"14","DENV1","baja california",2021,0,0
"15","DENV1","baja california",2022,0,0
"16","DENV1","baja california",2023,0.000536536397936931,0.333333333333333
"17","DENV1","baja california sur",2016,0.000121153380179307,0.000121153380179307
"18","DENV1","baja california sur",2017,0,0
"19","DENV1","baja california sur",2018,3.4615251479802e-05,0
"20","DENV1","baja california sur",2019,6.9230502959604e-05,0.285714285714286
"21","DENV1","baja california sur",2020,6.9230502959604e-05,0.5
"22","DENV1","baja california sur",2021,0,0.5
"23","DENV1","baja california sur",2022,5.1922877219703e-05,0.518518518518518
"24","DENV1","baja california sur",2023,0.00148845581363149,0.534246575342466
"25","DENV1","campeche",2016,5.1922877219703e-05,0.4
"26","DENV1","campeche",2017,0,0
"27","DENV1","campeche",2018,3.4615251479802e-05,0.5
"28","DENV1","campeche",2019,0.000138461005919208,0.272727272727273
"29","DENV1","campeche",2020,3.4615251479802e-05,0.142857142857143
"30","DENV1","campeche",2021,0,0
"31","DENV1","campeche",2022,6.9230502959604e-05,0.0333333333333333
"32","DENV1","campeche",2023,3.4615251479802e-05,0.00714285714285714
"33","DENV1","chiapas",2016,0.000121153380179307,0.05
"34","DENV1","chiapas",2017,1.7307625739901e-05,0.0849673202614379
"35","DENV1","chiapas",2018,0.000155768631659109,0.0107398568019093
"36","DENV1","chiapas",2019,0.000259614386098515,0.0700757575757576
"37","DENV1","chiapas",2020,1.7307625739901e-05,0.134328358208955
"38","DENV1","chiapas",2021,0.000571151649416733,0.571428571428571
"39","DENV1","chiapas",2022,0.000363460140537921,0.5234375
"40","DENV1","chiapas",2023,0.000623074526636436,0.276150627615063
"41","DENV1","chihuahua",2016,0,0
"42","DENV1","chihuahua",2017,0,1
"43","DENV1","chihuahua",2018,0,0
"44","DENV1","chihuahua",2019,0.000623074526636436,0.833333333333333
"45","DENV1","chihuahua",2020,0,0
"46","DENV1","chihuahua",2021,0,0
"47","DENV1","chihuahua",2022,0,0
"48","DENV1","chihuahua",2023,0,0
"49","DENV1","ciudad de m'exico",2016,0,0
"50","DENV1","ciudad de m'exico",2017,0,0
"51","DENV1","ciudad de m'exico",2018,0,0
"52","DENV1","ciudad de m'exico",2019,0,0
"53","DENV1","ciudad de m'exico",2020,6.9230502959604e-05,0
"54","DENV1","ciudad de m'exico",2021,3.4615251479802e-05,0
"55","DENV1","ciudad de m'exico",2022,0,0.333333333333333
"56","DENV1","ciudad de m'exico",2023,0.000242306760358614,0.25
"57","DENV1","coahuila",2016,0.000103845754439406,1
"58","DENV1","coahuila",2017,0.000501921146457129,0.758620689655172
"59","DENV1","coahuila",2018,0.000103845754439406,0.6
"60","DENV1","coahuila",2019,0.000796150784035446,0.607142857142857
"61","DENV1","coahuila",2020,1.7307625739901e-05,0.0185185185185185
"62","DENV1","coahuila",2021,0.0132576413167642,0.836734693877551
"63","DENV1","coahuila",2022,3.4615251479802e-05,0.0169491525423729
"64","DENV1","coahuila",2023,5.1922877219703e-05,0
"65","DENV1","colima",2016,0.000380767766277822,1
"66","DENV1","colima",2017,6.9230502959604e-05,0
"67","DENV1","colima",2018,0.000259614386098515,0.266666666666667
"68","DENV1","colima",2019,0.000398075392017723,0.457831325301205
"69","DENV1","colima",2020,0.00017307625739901,0.0505050505050505
"70","DENV1","colima",2021,8.6538128699505e-05,0.0882352941176471
"71","DENV1","colima",2022,3.4615251479802e-05,0.0114942528735632
"72","DENV1","colima",2023,0.00147114818789159,0.263157894736842
"73","DENV1","distrito federal",2016,8.6538128699505e-05,1
"74","DENV1","distrito federal",2017,6.9230502959604e-05,0
"75","DENV1","distrito federal",2018,5.1922877219703e-05,0.5
"76","DENV1","distrito federal",2019,0.000398075392017723,0.2
"77","DENV1","distrito federal",2020,0,0
"78","DENV1","distrito federal",2021,0,0
"79","DENV1","distrito federal",2022,0,0
"80","DENV1","distrito federal",2023,0,0
"81","DENV1","durango",2016,0.00214614559174772,1
"82","DENV1","durango",2017,0.00276922011838416,0.933333333333333
"83","DENV1","durango",2018,0,0
"84","DENV1","durango",2019,0,1
"85","DENV1","durango",2020,1.7307625739901e-05,0
"86","DENV1","durango",2021,8.6538128699505e-05,8.6538128699505e-05
"87","DENV1","durango",2022,0,0
"88","DENV1","durango",2023,1.7307625739901e-05,0.25
"89","DENV1","guanajuato",2016,0.000276922011838416,0.000276922011838416
"90","DENV1","guanajuato",2017,0.0676208937657932,1
"91","DENV1","guanajuato",2018,0.000726920281075842,0.75
"92","DENV1","guanajuato",2019,0.00299421925300287,0.391304347826087
"93","DENV1","guanajuato",2020,0.00482882758143238,0.857142857142857
"94","DENV1","guanajuato",2021,0.00034615251479802,0.00034615251479802
"95","DENV1","guanajuato",2022,0,0
"96","DENV1","guanajuato",2023,0.00257883623524525,0.16030534351145
"97","DENV1","guerrero",2016,0.00140191768493198,0.88
"98","DENV1","guerrero",2017,0.000138461005919208,0.952380952380952
"99","DENV1","guerrero",2018,0.000328844889058119,0.588235294117647
"100","DENV1","guerrero",2019,0.00150576343937139,0.236641221374046
"101","DENV1","guerrero",2020,0.000674997403856139,0.0829493087557604
"102","DENV1","guerrero",2021,0.00017307625739901,0.275
"103","DENV1","guerrero",2022,0.00309806500744228,0.620689655172414
"104","DENV1","guerrero",2023,0.00223268372044723,0.243943191311612
"105","DENV1","hidalgo",2016,0.000138461005919208,0.000138461005919208
"106","DENV1","hidalgo",2017,0.00128076430475267,0.875
"107","DENV1","hidalgo",2018,1.7307625739901e-05,0
"108","DENV1","hidalgo",2019,0.000121153380179307,0.173913043478261
"109","DENV1","hidalgo",2020,0,0.25
"110","DENV1","hidalgo",2021,5.1922877219703e-05,0
"111","DENV1","hidalgo",2022,6.9230502959604e-05,6.9230502959604e-05
"112","DENV1","hidalgo",2023,0.00051922877219703,0.307692307692308
"113","DENV1","jalisco",2016,0.00247499048080584,1
"114","DENV1","jalisco",2017,0.00796150784035446,0.857142857142857
"115","DENV1","jalisco",2018,0.0233826023746063,0.545871559633027
"116","DENV1","jalisco",2019,0.0231056803627678,0.154520547945205
"117","DENV1","jalisco",2020,0.00154037869085119,0.0401234567901235
"118","DENV1","jalisco",2021,1.7307625739901e-05,0.0625
"119","DENV1","jalisco",2022,0.000121153380179307,0.0769230769230769
"120","DENV1","jalisco",2023,0.00477690470421268,0.306122448979592
"121","DENV1","m'exico",2016,0,0
"122","DENV1","m'exico",2017,0,0
"123","DENV1","m'exico",2018,0,0
"124","DENV1","m'exico",2019,0,0
"125","DENV1","m'exico",2020,0.00115961092457337,0.191489361702128
"126","DENV1","m'exico",2021,0.000899996538474852,0.266666666666667
"127","DENV1","m'exico",2022,0.00034615251479802,0.0804597701149425
"128","DENV1","m'exico",2023,8.6538128699505e-05,0.0434782608695652
"129","DENV1","mexico",2016,0.00477690470421268,1
"130","DENV1","mexico",2017,0.00645574440098307,1
"131","DENV1","mexico",2018,0.00145384056215168,0.9
"132","DENV1","mexico",2019,0.00051922877219703,0.27027027027027
"133","DENV1","mexico",2020,0,0
"134","DENV1","mexico",2021,0,0
"135","DENV1","mexico",2022,0,0
"136","DENV1","mexico",2023,0,0
"137","DENV1","michoac'an de ocampo",2016,0,0
"138","DENV1","michoac'an de ocampo",2017,0,0
"139","DENV1","michoac'an de ocampo",2018,0,0
"140","DENV1","michoac'an de ocampo",2019,0,0
"141","DENV1","michoac'an de ocampo",2020,0.0126172591643878,0.292682926829268
"142","DENV1","michoac'an de ocampo",2021,0.000501921146457129,0.0851063829787234
"143","DENV1","michoac'an de ocampo",2022,0.000830766035515248,0.0526315789473684
"144","DENV1","michoac'an de ocampo",2023,0.00330575651632109,0.229591836734694
"145","DENV1","michoacan",2016,0.00891342725604902,1
"146","DENV1","michoacan",2017,0.0035307556509398,0.941176470588235
"147","DENV1","michoacan",2018,0.00541728685658901,1
"148","DENV1","michoacan",2019,0.0165980130845651,0.801526717557252
"149","DENV1","michoacan",2020,0,0
"150","DENV1","michoacan",2021,0,0
"151","DENV1","michoacan",2022,0,0
"152","DENV1","michoacan",2023,0,0
"153","DENV1","morelos",2016,0.000259614386098515,0.5
"154","DENV1","morelos",2017,0.000242306760358614,0.246575342465753
"155","DENV1","morelos",2018,6.9230502959604e-05,0.0625
"156","DENV1","morelos",2019,0.000380767766277822,0.123404255319149
"157","DENV1","morelos",2020,0.0034615251479802,0.385826771653543
"158","DENV1","morelos",2021,0.00136730243345218,0.542372881355932
"159","DENV1","morelos",2022,0.000813458409775347,0.336065573770492
"160","DENV1","morelos",2023,0.00228460659766693,0.106995884773663
"161","DENV1","nayarit",2016,0.000155768631659109,1
"162","DENV1","nayarit",2017,0.000103845754439406,1
"163","DENV1","nayarit",2018,0.000848073661255149,0.625
"164","DENV1","nayarit",2019,0.00136730243345218,0.154518950437318
"165","DENV1","nayarit",2020,0.000294229637578317,0.0441988950276243
"166","DENV1","nayarit",2021,5.1922877219703e-05,0.111111111111111
"167","DENV1","nayarit",2022,1.7307625739901e-05,0
"168","DENV1","nayarit",2023,0.000467305894977327,0.230769230769231
"169","DENV1","nuevo le'on",2016,0,0
"170","DENV1","nuevo le'on",2017,0,0
"171","DENV1","nuevo le'on",2018,0,0
"172","DENV1","nuevo le'on",2019,0,0
"173","DENV1","nuevo le'on",2020,0.00145384056215168,0.0173410404624277
"174","DENV1","nuevo le'on",2021,0.000484613520717228,0.333333333333333
"175","DENV1","nuevo le'on",2022,0.000103845754439406,0.0833333333333333
"176","DENV1","nuevo le'on",2023,0.000155768631659109,0.333333333333333
"177","DENV1","nuevo leon",2016,0.000605766900896535,0.5
"178","DENV1","nuevo leon",2017,0.00109038042161376,0.0547945205479452
"179","DENV1","nuevo leon",2018,0.000899996538474852,0.0676056338028169
"180","DENV1","nuevo leon",2019,0.00195576170860881,0.207650273224044
"181","DENV1","nuevo leon",2020,0,0
"182","DENV1","nuevo leon",2021,0,0
"183","DENV1","nuevo leon",2022,0,0
"184","DENV1","nuevo leon",2023,0,0
"185","DENV1","oaxaca",2016,6.9230502959604e-05,0.142857142857143
"186","DENV1","oaxaca",2017,0.000294229637578317,0.535714285714286
"187","DENV1","oaxaca",2018,0.00162691681955069,0.516778523489933
"188","DENV1","oaxaca",2019,0.0111634186022361,0.493482309124767
"189","DENV1","oaxaca",2020,0.000588459275156634,0.2
"190","DENV1","oaxaca",2021,0.000103845754439406,0.0204081632653061
"191","DENV1","oaxaca",2022,8.6538128699505e-05,0.0292207792207792
"192","DENV1","oaxaca",2023,0.00034615251479802,0.0584677419354839
"193","DENV1","puebla",2016,0.00051922877219703,0.571428571428571
"194","DENV1","puebla",2017,0.00377306241129842,0.875
"195","DENV1","puebla",2018,0.00214614559174772,0.833333333333333
"196","DENV1","puebla",2019,0.0113191872338953,0.333333333333333
"197","DENV1","puebla",2020,0.0017826854512098,0.0838709677419355
"198","DENV1","puebla",2021,0.000380767766277822,0.260869565217391
"199","DENV1","puebla",2022,0.0016442244452906,0.75
"200","DENV1","puebla",2023,0.0114057253625948,0.563063063063063
"201","DENV1","quer'etaro",2016,0,0
"202","DENV1","quer'etaro",2017,0,0
"203","DENV1","quer'etaro",2018,0,0
"204","DENV1","quer'etaro",2019,0,0
"205","DENV1","quer'etaro",2020,8.6538128699505e-05,0.666666666666667
"206","DENV1","quer'etaro",2021,0,0
"207","DENV1","quer'etaro",2022,0,0
"208","DENV1","quer'etaro",2023,0.000398075392017723,0.214285714285714
"209","DENV1","queretaro",2016,0,0
"210","DENV1","queretaro",2017,0.000207691508878812,0
"211","DENV1","queretaro",2018,3.4615251479802e-05,3.4615251479802e-05
"212","DENV1","queretaro",2019,0.00034615251479802,0.5
"213","DENV1","queretaro",2020,0,0
"214","DENV1","queretaro",2021,0,0
"215","DENV1","queretaro",2022,0,0
"216","DENV1","queretaro",2023,0,0
"217","DENV1","quintana roo",2016,0.000155768631659109,0.777777777777778
"218","DENV1","quintana roo",2017,6.9230502959604e-05,0.818181818181818
"219","DENV1","quintana roo",2018,0.000536536397936931,0.164383561643836
"220","DENV1","quintana roo",2019,0.00155768631659109,0.0981675392670157
"221","DENV1","quintana roo",2020,0.000138461005919208,0.142857142857143
"222","DENV1","quintana roo",2021,8.6538128699505e-05,8.6538128699505e-05
"223","DENV1","quintana roo",2022,0.00134999480771228,0.213675213675214
"224","DENV1","quintana roo",2023,0.00126345667901277,0.0207253886010363
"225","DENV1","san luis potos'i",2016,0,0
"226","DENV1","san luis potos'i",2017,0,0
"227","DENV1","san luis potos'i",2018,0,0
"228","DENV1","san luis potos'i",2019,0,0
"229","DENV1","san luis potos'i",2020,0.00533074872788951,0.225806451612903
"230","DENV1","san luis potos'i",2021,0.000224999134618713,0
"231","DENV1","san luis potos'i",2022,1.7307625739901e-05,0
"232","DENV1","san luis potos'i",2023,0.000501921146457129,0.0952380952380952
"233","DENV1","san luis potosi",2016,6.9230502959604e-05,6.9230502959604e-05
"234","DENV1","san luis potosi",2017,0.000190383883138911,0.25
"235","DENV1","san luis potosi",2018,0.0086191976184707,0.566037735849057
"236","DENV1","san luis potosi",2019,0.017999930769497,0.808383233532934
"237","DENV1","san luis potosi",2020,0,0
"238","DENV1","san luis potosi",2021,0,0
"239","DENV1","san luis potosi",2022,0,0
"240","DENV1","san luis potosi",2023,0,0
"241","DENV1","sinaloa",2016,0.000224999134618713,1
"242","DENV1","sinaloa",2017,5.1922877219703e-05,0
"243","DENV1","sinaloa",2018,0.000138461005919208,0.666666666666667
"244","DENV1","sinaloa",2019,0.000449998269237426,0.34375
"245","DENV1","sinaloa",2020,0.000571151649416733,0.0802919708029197
"246","DENV1","sinaloa",2021,0.00119422617605317,0.0595238095238095
"247","DENV1","sinaloa",2022,0.000917304164214753,0.0909090909090909
"248","DENV1","sinaloa",2023,0.000986534667174357,0.2
"249","DENV1","sonora",2016,0.000103845754439406,0.666666666666667
"250","DENV1","sonora",2017,0.000259614386098515,0.75
"251","DENV1","sonora",2018,0.000328844889058119,0.666666666666667
"252","DENV1","sonora",2019,0.000761535532555644,0.656716417910448
"253","DENV1","sonora",2020,0,0
"254","DENV1","sonora",2021,0,0
"255","DENV1","sonora",2022,8.6538128699505e-05,0.00227272727272727
"256","DENV1","sonora",2023,3.4615251479802e-05,0.125
"257","DENV1","tabasco",2016,5.1922877219703e-05,0.0714285714285714
"258","DENV1","tabasco",2017,3.4615251479802e-05,0.25
"259","DENV1","tabasco",2018,0.000294229637578317,0.6
"260","DENV1","tabasco",2019,0.00162691681955069,0.215547703180212
"261","DENV1","tabasco",2020,0.000294229637578317,0.14859437751004
"262","DENV1","tabasco",2021,3.4615251479802e-05,0
"263","DENV1","tabasco",2022,0.000121153380179307,0.0350877192982456
"264","DENV1","tabasco",2023,5.1922877219703e-05,0.0192837465564738
"265","DENV1","tamaulipas",2016,0.000190383883138911,0
"266","DENV1","tamaulipas",2017,0.00103845754439406,0.363636363636364
"267","DENV1","tamaulipas",2018,0.000380767766277822,0.333333333333333
"268","DENV1","tamaulipas",2019,0.000536536397936931,0.15625
"269","DENV1","tamaulipas",2020,0.00069230502959604,0.102040816326531
"270","DENV1","tamaulipas",2021,1.7307625739901e-05,0.75
"271","DENV1","tamaulipas",2022,8.6538128699505e-05,0.5
"272","DENV1","tamaulipas",2023,0.000415383017757624,0.44
"273","DENV1","tlaxcala",2016,1.7307625739901e-05,1
"274","DENV1","tlaxcala",2017,1.7307625739901e-05,1.7307625739901e-05
"275","DENV1","tlaxcala",2018,0,0
"276","DENV1","tlaxcala",2019,0.000138461005919208,0.875
"277","DENV1","tlaxcala",2020,0,0
"278","DENV1","tlaxcala",2021,0,0
"279","DENV1","tlaxcala",2022,0,0
"280","DENV1","tlaxcala",2023,1.7307625739901e-05,0
"281","DENV1","veracruz",2016,0.000224999134618713,0.181818181818182
"282","DENV1","veracruz",2017,0.00185191595416941,0.775
"283","DENV1","veracruz",2018,0.00964034753712486,0.648809523809524
"284","DENV1","veracruz",2019,0.0314133407179203,0.573951434878587
"285","DENV1","veracruz",2020,0.00136730243345218,0.164634146341463
"286","DENV1","veracruz",2021,0.000363460140537921,0.136094674556213
"287","DENV1","veracruz",2022,0.000882688912734951,0.151515151515152
"288","DENV1","veracruz",2023,0.00100384229291426,0.0312278211497516
"289","DENV1","yucat'an",2016,0,0
"290","DENV1","yucat'an",2017,0,0
"291","DENV1","yucat'an",2018,0,0
"292","DENV1","yucat'an",2019,0,0
"293","DENV1","yucat'an",2020,0.000242306760358614,0.596491228070175
"294","DENV1","yucat'an",2021,0,0
"295","DENV1","yucat'an",2022,0.00195576170860881,0.351351351351351
"296","DENV1","yucat'an",2023,0.00183460832842951,0.0251694094869313
"297","DENV1","yucatan",2016,3.4615251479802e-05,0.75
"298","DENV1","yucatan",2017,6.9230502959604e-05,0.888888888888889
"299","DENV1","yucatan",2018,0.000103845754439406,0.428571428571429
"300","DENV1","yucatan",2019,0.00131537955623248,0.415789473684211
"301","DENV1","yucatan",2020,0,0
"302","DENV1","yucatan",2021,0,0
"303","DENV1","yucatan",2022,0,0
"304","DENV1","yucatan",2023,0,0
"305","DENV1","zacatecas",2016,3.4615251479802e-05,1
"306","DENV1","zacatecas",2017,1.7307625739901e-05,1.7307625739901e-05
"307","DENV1","zacatecas",2018,5.1922877219703e-05,0
"308","DENV1","zacatecas",2019,6.9230502959604e-05,0.375
"309","DENV1","zacatecas",2020,0,0
"310","DENV1","zacatecas",2021,1.7307625739901e-05,1.7307625739901e-05
"311","DENV1","zacatecas",2022,0,0
"312","DENV1","zacatecas",2023,1.7307625739901e-05,0
"313","DENV2","aguascalientes",2016,0,0
"314","DENV2","aguascalientes",2017,1.7307625739901e-05,1.7307625739901e-05
"315","DENV2","aguascalientes",2018,0,0
"316","DENV2","aguascalientes",2019,0.000138461005919208,0.6
"317","DENV2","aguascalientes",2020,1.7307625739901e-05,1
"318","DENV2","aguascalientes",2021,0,0
"319","DENV2","aguascalientes",2022,0,0
"320","DENV2","aguascalientes",2023,0.000328844889058119,0.0263157894736842
"321","DENV2","baja california",2016,0,0
"322","DENV2","baja california",2017,0,0
"323","DENV2","baja california",2018,0,0
"324","DENV2","baja california",2019,0.000242306760358614,0.5
"325","DENV2","baja california",2020,6.9230502959604e-05,6.9230502959604e-05
"326","DENV2","baja california",2021,0,1
"327","DENV2","baja california",2022,0.00103845754439406,1
"328","DENV2","baja california",2023,1.7307625739901e-05,0.333333333333333
"329","DENV2","baja california sur",2016,1.7307625739901e-05,1.7307625739901e-05
"330","DENV2","baja california sur",2017,0,0
"331","DENV2","baja california sur",2018,0.00183460832842951,1
"332","DENV2","baja california sur",2019,0.000311537263318218,0.714285714285714
"333","DENV2","baja california sur",2020,0.000155768631659109,0.5
"334","DENV2","baja california sur",2021,3.4615251479802e-05,0.5
"335","DENV2","baja california sur",2022,0.000138461005919208,0.185185185185185
"336","DENV2","baja california sur",2023,0.000138461005919208,0.0753424657534247
"337","DENV2","campeche",2016,1.7307625739901e-05,0.6
"338","DENV2","campeche",2017,0,0
"339","DENV2","campeche",2018,0,0.5
"340","DENV2","campeche",2019,0.000224999134618713,0.712121212121212
"341","DENV2","campeche",2020,6.9230502959604e-05,0.857142857142857
"342","DENV2","campeche",2021,8.6538128699505e-05,1
"343","DENV2","campeche",2022,3.4615251479802e-05,0.533333333333333
"344","DENV2","campeche",2023,3.4615251479802e-05,0.0107142857142857
"345","DENV2","chiapas",2016,0.000155768631659109,0.8
"346","DENV2","chiapas",2017,0.00148845581363149,0.905228758169935
"347","DENV2","chiapas",2018,0.00216345321748763,0.970167064439141
"348","DENV2","chiapas",2019,0.00122884142753297,0.854166666666667
"349","DENV2","chiapas",2020,0.000138461005919208,0.805970149253731
"350","DENV2","chiapas",2021,1.7307625739901e-05,0.0317460317460317
"351","DENV2","chiapas",2022,1.7307625739901e-05,0.03125
"352","DENV2","chiapas",2023,6.9230502959604e-05,0.0334728033472803
"353","DENV2","chihuahua",2016,0,0
"354","DENV2","chihuahua",2017,0,0
"355","DENV2","chihuahua",2018,0,0
"356","DENV2","chihuahua",2019,6.9230502959604e-05,0.166666666666667
"357","DENV2","chihuahua",2020,1.7307625739901e-05,1.7307625739901e-05
"358","DENV2","chihuahua",2021,0,0
"359","DENV2","chihuahua",2022,0.00100384229291426,1
"360","DENV2","chihuahua",2023,1.7307625739901e-05,0
"361","DENV2","ciudad de m'exico",2016,0,0
"362","DENV2","ciudad de m'exico",2017,0,0
"363","DENV2","ciudad de m'exico",2018,0,0
"364","DENV2","ciudad de m'exico",2019,0,0
"365","DENV2","ciudad de m'exico",2020,8.6538128699505e-05,1
"366","DENV2","ciudad de m'exico",2021,6.9230502959604e-05,0.666666666666667
